Using kernels flash-attn2 (compute capability (12, 0))
Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 8, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_pattern': 'SSSL'}
Parameter counts:
  wte                     : 4,194,304
  value_embeds            : 16,777,216
  lm_head                 : 4,194,304
  transformer_matrices    : 20,972,032
  scalars                 : 16
  total                   : 46,137,872
Estimated FLOPs per token: 2.139126e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 1

step 00000 (0.0%) | loss: 9.011469 | lrm: 1.00 | dt: 5565ms | tok/sec: 23,551 | mfu: 0.5% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.883111 | lrm: 1.00 | dt: 286ms | tok/sec: 457,848 | mfu: 9.9% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.554588 | lrm: 1.00 | dt: 293ms | tok/sec: 448,002 | mfu: 9.7% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.137233 | lrm: 1.00 | dt: 274ms | tok/sec: 477,635 | mfu: 10.3% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 7.755521 | lrm: 1.00 | dt: 282ms | tok/sec: 464,158 | mfu: 10.0% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.441248 | lrm: 1.00 | dt: 293ms | tok/sec: 447,690 | mfu: 9.7% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.192334 | lrm: 1.00 | dt: 296ms | tok/sec: 442,746 | mfu: 9.6% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 6.984615 | lrm: 1.00 | dt: 275ms | tok/sec: 476,274 | mfu: 10.3% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.810339 | lrm: 1.00 | dt: 284ms | tok/sec: 460,943 | mfu: 10.0% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.662765 | lrm: 1.00 | dt: 289ms | tok/sec: 454,195 | mfu: 9.8% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.534300 | lrm: 1.00 | dt: 296ms | tok/sec: 443,499 | mfu: 9.6% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.419629 | lrm: 1.00 | dt: 275ms | tok/sec: 476,104 | mfu: 10.3% | epoch: 1 | remaining: 300s    
step 00012 (0.1%) | loss: 6.324908 | lrm: 1.00 | dt: 284ms | tok/sec: 460,769 | mfu: 10.0% | epoch: 1 | remaining: 299s    
step 00013 (0.2%) | loss: 6.240835 | lrm: 1.00 | dt: 289ms | tok/sec: 454,303 | mfu: 9.8% | epoch: 1 | remaining: 299s    
step 00014 (0.3%) | loss: 6.164041 | lrm: 1.00 | dt: 296ms | tok/sec: 443,397 | mfu: 9.6% | epoch: 1 | remaining: 299s    
step 00155 (13.7%) | loss: 3.785633 | lrm: 1.00 | dt: 295ms | tok/sec: 443,941 | mfu: 9.6% | epoch: 1 | remaining: 259s    
step 00156 (13.8%) | loss: 3.781853 | lrm: 1.00 | dt: 275ms | tok/sec: 477,416 | mfu: 10.3% | epoch: 1 | remaining: 258s    
step 00157 (13.9%) | loss: 3.784409 | lrm: 1.00 | dt: 283ms | tok/sec: 462,554 | mfu: 10.0% | epoch: 1 | remaining: 258s    
step 00158 (14.0%) | loss: 3.782314 | lrm: 1.00 | dt: 288ms | tok/sec: 454,576 | mfu: 9.8% | epoch: 1 | remaining: 258s    
step 00159 (14.1%) | loss: 3.780161 | lrm: 1.00 | dt: 295ms | tok/sec: 444,493 | mfu: 9.6% | epoch: 1 | remaining: 257s    
step 00160 (14.2%) | loss: 3.770351 | lrm: 1.00 | dt: 275ms | tok/sec: 477,354 | mfu: 10.3% | epoch: 1 | remaining: 257s    
step 00161 (14.3%) | loss: 3.762601 | lrm: 1.00 | dt: 284ms | tok/sec: 461,964 | mfu: 10.0% | epoch: 1 | remaining: 257s    
step 00162 (14.4%) | loss: 3.751658 | lrm: 1.00 | dt: 288ms | tok/sec: 455,768 | mfu: 9.9% | epoch: 1 | remaining: 257s    
step 00163 (14.5%) | loss: 3.747438 | lrm: 1.00 | dt: 295ms | tok/sec: 443,937 | mfu: 9.6% | epoch: 1 | remaining: 256s    
step 00164 (14.6%) | loss: 3.738394 | lrm: 1.00 | dt: 274ms | tok/sec: 477,966 | mfu: 10.3% | epoch: 1 | remaining: 256s    
step 00165 (14.7%) | loss: 3.729577 | lrm: 1.00 | dt: 284ms | tok/sec: 462,273 | mfu: 10.0% | epoch: 1 | remaining: 256s    
step 00166 (14.8%) | loss: 3.723031 | lrm: 1.00 | dt: 288ms | tok/sec: 454,611 | mfu: 9.8% | epoch: 1 | remaining: 255s    
step 00167 (14.9%) | loss: 3.721270 | lrm: 1.00 | dt: 295ms | tok/sec: 444,320 | mfu: 9.6% | epoch: 1 | remaining: 255s    
step 00168 (15.0%) | loss: 3.726775 | lrm: 1.00 | dt: 274ms | tok/sec: 478,048 | mfu: 10.3% | epoch: 1 | remaining: 255s    
step 00169 (15.0%) | loss: 3.717609 | lrm: 1.00 | dt: 283ms | tok/sec: 462,839 | mfu: 10.0% | epoch: 1 | remaining: 255s    
step 00170 (15.1%) | loss: 3.714102 | lrm: 1.00 | dt: 288ms | tok/sec: 454,964 | mfu: 9.8% | epoch: 1 | remaining: 254s    
step 00171 (15.2%) | loss: 3.714659 | lrm: 1.00 | dt: 295ms | tok/sec: 444,183 | mfu: 9.6% | epoch: 1 | remaining: 254s    
step 00172 (15.3%) | loss: 3.709151 | lrm: 1.00 | dt: 275ms | tok/sec: 477,233 | mfu: 10.3% | epoch: 1 | remaining: 254s    
step 00173 (15.4%) | loss: 3.708984 | lrm: 1.00 | dt: 283ms | tok/sec: 462,401 | mfu: 10.0% | epoch: 1 | remaining: 253s    
step 00174 (15.5%) | loss: 3.700230 | lrm: 1.00 | dt: 288ms | tok/sec: 455,319 | mfu: 9.8% | epoch: 1 | remaining: 253s    
step 00175 (15.6%) | loss: 3.702008 | lrm: 1.00 | dt: 295ms | tok/sec: 444,551 | mfu: 9.6% | epoch: 1 | remaining: 253s    
step 00176 (15.7%) | loss: 3.703040 | lrm: 1.00 | dt: 275ms | tok/sec: 477,201 | mfu: 10.3% | epoch: 1 | remaining: 253s    
step 00177 (15.8%) | loss: 3.686757 | lrm: 1.00 | dt: 283ms | tok/sec: 462,488 | mfu: 10.0% | epoch: 1 | remaining: 252s    
step 00178 (15.9%) | loss: 3.688406 | lrm: 1.00 | dt: 287ms | tok/sec: 456,259 | mfu: 9.9% | epoch: 1 | remaining: 252s    
step 00179 (16.0%) | loss: 3.684466 | lrm: 1.00 | dt: 295ms | tok/sec: 444,165 | mfu: 9.6% | epoch: 1 | remaining: 252s    
step 00180 (16.1%) | loss: 3.679101 | lrm: 1.00 | dt: 274ms | tok/sec: 477,849 | mfu: 10.3% | epoch: 1 | remaining: 251s    
step 00181 (16.2%) | loss: 3.676758 | lrm: 1.00 | dt: 283ms | tok/sec: 462,519 | mfu: 10.0% | epoch: 1 | remaining: 251s    
step 00182 (16.3%) | loss: 3.672573 | lrm: 1.00 | dt: 288ms | tok/sec: 455,196 | mfu: 9.8% | epoch: 1 | remaining: 251s    
step 00183 (16.4%) | loss: 3.676997 | lrm: 1.00 | dt: 295ms | tok/sec: 444,729 | mfu: 9.6% | epoch: 1 | remaining: 251s    
step 00184 (16.5%) | loss: 3.669366 | lrm: 1.00 | dt: 274ms | tok/sec: 477,749 | mfu: 10.3% | epoch: 1 | remaining: 250s    
step 00185 (16.6%) | loss: 3.663001 | lrm: 1.00 | dt: 283ms | tok/sec: 462,756 | mfu: 10.0% | epoch: 1 | remaining: 250s    
step 00186 (16.7%) | loss: 3.664875 | lrm: 1.00 | dt: 288ms | tok/sec: 455,413 | mfu: 9.8% | epoch: 1 | remaining: 250s    
step 00187 (16.8%) | loss: 3.660892 | lrm: 1.00 | dt: 295ms | tok/sec: 443,734 | mfu: 9.6% | epoch: 1 | remaining: 249s    
step 00188 (16.9%) | loss: 3.652053 | lrm: 1.00 | dt: 274ms | tok/sec: 478,308 | mfu: 10.3% | epoch: 1 | remaining: 249s    
step 00189 (16.9%) | loss: 3.650398 | lrm: 1.00 | dt: 283ms | tok/sec: 462,592 | mfu: 10.0% | epoch: 1 | remaining: 249s    
step 00190 (17.0%) | loss: 3.638122 | lrm: 1.00 | dt: 288ms | tok/sec: 455,869 | mfu: 9.9% | epoch: 1 | remaining: 249s    
step 00191 (17.1%) | loss: 3.626992 | lrm: 1.00 | dt: 295ms | tok/sec: 443,710 | mfu: 9.6% | epoch: 1 | remaining: 248s    
step 00192 (17.2%) | loss: 3.624943 | lrm: 1.00 | dt: 274ms | tok/sec: 477,864 | mfu: 10.3% | epoch: 1 | remaining: 248s    
step 00193 (17.3%) | loss: 3.618400 | lrm: 1.00 | dt: 283ms | tok/sec: 462,815 | mfu: 10.0% | epoch: 1 | remaining: 248s    
step 00194 (17.4%) | loss: 3.619076 | lrm: 1.00 | dt: 287ms | tok/sec: 456,861 | mfu: 9.9% | epoch: 1 | remaining: 247s    
step 00195 (17.5%) | loss: 3.624884 | lrm: 1.00 | dt: 295ms | tok/sec: 444,627 | mfu: 9.6% | epoch: 1 | remaining: 247s    
step 00196 (17.6%) | loss: 3.627460 | lrm: 1.00 | dt: 274ms | tok/sec: 477,556 | mfu: 10.3% | epoch: 1 | remaining: 247s    
step 00197 (17.7%) | loss: 3.625782 | lrm: 1.00 | dt: 283ms | tok/sec: 462,885 | mfu: 10.0% | epoch: 1 | remaining: 247s    
step 00198 (17.8%) | loss: 3.627851 | lrm: 1.00 | dt: 287ms | tok/sec: 456,220 | mfu: 9.9% | epoch: 1 | remaining: 246s    
step 00199 (17.9%) | loss: 3.620695 | lrm: 1.00 | dt: 295ms | tok/sec: 443,970 | mfu: 9.6% | epoch: 1 | remaining: 246s    
step 00200 (18.0%) | loss: 3.616803 | lrm: 1.00 | dt: 274ms | tok/sec: 478,011 | mfu: 10.3% | epoch: 1 | remaining: 246s    
step 00201 (18.1%) | loss: 3.615735 | lrm: 1.00 | dt: 283ms | tok/sec: 462,895 | mfu: 10.0% | epoch: 1 | remaining: 245s    
step 00202 (18.2%) | loss: 3.608551 | lrm: 1.00 | dt: 288ms | tok/sec: 455,438 | mfu: 9.8% | epoch: 1 | remaining: 245s    
step 00203 (18.3%) | loss: 3.607698 | lrm: 1.00 | dt: 295ms | tok/sec: 444,431 | mfu: 9.6% | epoch: 1 | remaining: 245s    
step 00204 (18.4%) | loss: 3.601003 | lrm: 1.00 | dt: 275ms | tok/sec: 477,469 | mfu: 10.3% | epoch: 1 | remaining: 245s    
step 00205 (18.5%) | loss: 3.600521 | lrm: 1.00 | dt: 283ms | tok/sec: 462,956 | mfu: 10.0% | epoch: 1 | remaining: 244s    
step 00206 (18.6%) | loss: 3.598206 | lrm: 1.00 | dt: 287ms | tok/sec: 456,668 | mfu: 9.9% | epoch: 1 | remaining: 244s    
step 00207 (18.7%) | loss: 3.598129 | lrm: 1.00 | dt: 295ms | tok/sec: 444,857 | mfu: 9.6% | epoch: 1 | remaining: 244s    
step 00208 (18.8%) | loss: 3.596687 | lrm: 1.00 | dt: 274ms | tok/sec: 478,259 | mfu: 10.3% | epoch: 1 | remaining: 243s    
step 00209 (18.8%) | loss: 3.592423 | lrm: 1.00 | dt: 283ms | tok/sec: 462,660 | mfu: 10.0% | epoch: 1 | remaining: 243s    
step 00210 (18.9%) | loss: 3.584687 | lrm: 1.00 | dt: 287ms | tok/sec: 456,480 | mfu: 9.9% | epoch: 1 | remaining: 243s    
step 00211 (19.0%) | loss: 3.585262 | lrm: 1.00 | dt: 295ms | tok/sec: 444,580 | mfu: 9.6% | epoch: 1 | remaining: 243s    
step 00212 (19.1%) | loss: 3.582734 | lrm: 1.00 | dt: 274ms | tok/sec: 477,749 | mfu: 10.3% | epoch: 1 | remaining: 242s    
step 00213 (19.2%) | loss: 3.582121 | lrm: 1.00 | dt: 284ms | tok/sec: 462,241 | mfu: 10.0% | epoch: 1 | remaining: 242s    
step 00214 (19.3%) | loss: 3.582692 | lrm: 1.00 | dt: 288ms | tok/sec: 455,227 | mfu: 9.8% | epoch: 1 | remaining: 242s    
step 00215 (19.4%) | loss: 3.582030 | lrm: 1.00 | dt: 295ms | tok/sec: 443,572 | mfu: 9.6% | epoch: 1 | remaining: 241s    
step 00216 (19.5%) | loss: 3.580398 | lrm: 1.00 | dt: 275ms | tok/sec: 477,454 | mfu: 10.3% | epoch: 1 | remaining: 241s    
step 00217 (19.6%) | loss: 3.583825 | lrm: 1.00 | dt: 284ms | tok/sec: 461,899 | mfu: 10.0% | epoch: 1 | remaining: 241s    
step 00218 (19.7%) | loss: 3.581007 | lrm: 1.00 | dt: 287ms | tok/sec: 456,139 | mfu: 9.9% | epoch: 1 | remaining: 241s    
step 00219 (19.8%) | loss: 3.585386 | lrm: 1.00 | dt: 295ms | tok/sec: 443,788 | mfu: 9.6% | epoch: 1 | remaining: 240s    
step 00220 (19.9%) | loss: 3.588856 | lrm: 1.00 | dt: 275ms | tok/sec: 477,465 | mfu: 10.3% | epoch: 1 | remaining: 240s    
step 00221 (20.0%) | loss: 3.588139 | lrm: 1.00 | dt: 283ms | tok/sec: 462,708 | mfu: 10.0% | epoch: 1 | remaining: 240s    
step 00222 (20.1%) | loss: 3.588034 | lrm: 1.00 | dt: 288ms | tok/sec: 455,699 | mfu: 9.9% | epoch: 1 | remaining: 239s    
step 00223 (20.2%) | loss: 3.582335 | lrm: 1.00 | dt: 295ms | tok/sec: 444,320 | mfu: 9.6% | epoch: 1 | remaining: 239s    
step 00224 (20.3%) | loss: 3.581719 | lrm: 1.00 | dt: 274ms | tok/sec: 478,833 | mfu: 10.4% | epoch: 1 | remaining: 239s    
step 00225 (20.4%) | loss: 3.571255 | lrm: 1.00 | dt: 283ms | tok/sec: 462,345 | mfu: 10.0% | epoch: 1 | remaining: 239s    
step 00226 (20.5%) | loss: 3.574762 | lrm: 1.00 | dt: 288ms | tok/sec: 455,207 | mfu: 9.8% | epoch: 1 | remaining: 238s    
step 00227 (20.6%) | loss: 3.576857 | lrm: 1.00 | dt: 295ms | tok/sec: 444,903 | mfu: 9.6% | epoch: 1 | remaining: 238s    
step 00228 (20.7%) | loss: 3.571859 | lrm: 1.00 | dt: 274ms | tok/sec: 477,605 | mfu: 10.3% | epoch: 1 | remaining: 238s    
step 00229 (20.7%) | loss: 3.571321 | lrm: 1.00 | dt: 283ms | tok/sec: 462,854 | mfu: 10.0% | epoch: 1 | remaining: 237s    
step 00230 (20.8%) | loss: 3.570416 | lrm: 1.00 | dt: 288ms | tok/sec: 455,109 | mfu: 9.8% | epoch: 1 | remaining: 237s    
step 00231 (20.9%) | loss: 3.567677 | lrm: 1.00 | dt: 295ms | tok/sec: 444,413 | mfu: 9.6% | epoch: 1 | remaining: 237s    
step 00232 (21.0%) | loss: 3.564958 | lrm: 1.00 | dt: 274ms | tok/sec: 478,416 | mfu: 10.3% | epoch: 1 | remaining: 237s    
step 00233 (21.1%) | loss: 3.558688 | lrm: 1.00 | dt: 283ms | tok/sec: 462,769 | mfu: 10.0% | epoch: 1 | remaining: 236s    
step 00234 (21.2%) | loss: 3.555167 | lrm: 1.00 | dt: 288ms | tok/sec: 454,944 | mfu: 9.8% | epoch: 1 | remaining: 236s    
step 00235 (21.3%) | loss: 3.551065 | lrm: 1.00 | dt: 295ms | tok/sec: 444,130 | mfu: 9.6% | epoch: 1 | remaining: 236s    
step 00236 (21.4%) | loss: 3.551758 | lrm: 1.00 | dt: 274ms | tok/sec: 478,028 | mfu: 10.3% | epoch: 1 | remaining: 235s    
step 00237 (21.5%) | loss: 3.552164 | lrm: 1.00 | dt: 283ms | tok/sec: 463,254 | mfu: 10.0% | epoch: 1 | remaining: 235s    
step 00238 (21.6%) | loss: 3.554542 | lrm: 1.00 | dt: 288ms | tok/sec: 455,211 | mfu: 9.8% | epoch: 1 | remaining: 235s    
step 00239 (21.7%) | loss: 3.555541 | lrm: 1.00 | dt: 295ms | tok/sec: 444,163 | mfu: 9.6% | epoch: 1 | remaining: 235s    
step 00240 (21.8%) | loss: 3.550447 | lrm: 1.00 | dt: 274ms | tok/sec: 477,522 | mfu: 10.3% | epoch: 1 | remaining: 234s    
step 00241 (21.9%) | loss: 3.547360 | lrm: 1.00 | dt: 283ms | tok/sec: 462,520 | mfu: 10.0% | epoch: 1 | remaining: 234s    
step 00242 (22.0%) | loss: 3.546162 | lrm: 1.00 | dt: 288ms | tok/sec: 455,184 | mfu: 9.8% | epoch: 1 | remaining: 234s    
step 00243 (22.1%) | loss: 3.545063 | lrm: 1.00 | dt: 295ms | tok/sec: 444,301 | mfu: 9.6% | epoch: 1 | remaining: 233s    
step 00244 (22.2%) | loss: 3.540608 | lrm: 1.00 | dt: 274ms | tok/sec: 478,695 | mfu: 10.3% | epoch: 1 | remaining: 233s    
step 00245 (22.3%) | loss: 3.541648 | lrm: 1.00 | dt: 283ms | tok/sec: 462,984 | mfu: 10.0% | epoch: 1 | remaining: 233s    
step 00246 (22.4%) | loss: 3.541914 | lrm: 1.00 | dt: 287ms | tok/sec: 456,002 | mfu: 9.9% | epoch: 1 | remaining: 233s    
step 00247 (22.5%) | loss: 3.534334 | lrm: 1.00 | dt: 295ms | tok/sec: 444,025 | mfu: 9.6% | epoch: 1 | remaining: 232s    
step 00248 (22.6%) | loss: 3.537594 | lrm: 1.00 | dt: 274ms | tok/sec: 477,614 | mfu: 10.3% | epoch: 1 | remaining: 232s    
step 00249 (22.6%) | loss: 3.539707 | lrm: 1.00 | dt: 283ms | tok/sec: 462,492 | mfu: 10.0% | epoch: 1 | remaining: 232s    
step 00250 (22.7%) | loss: 3.537845 | lrm: 1.00 | dt: 288ms | tok/sec: 455,553 | mfu: 9.8% | epoch: 1 | remaining: 231s    
step 00251 (22.8%) | loss: 3.541960 | lrm: 1.00 | dt: 295ms | tok/sec: 443,937 | mfu: 9.6% | epoch: 1 | remaining: 231s    
step 00252 (22.9%) | loss: 3.535116 | lrm: 1.00 | dt: 274ms | tok/sec: 477,957 | mfu: 10.3% | epoch: 1 | remaining: 231s    
step 00253 (23.0%) | loss: 3.534824 | lrm: 1.00 | dt: 283ms | tok/sec: 463,068 | mfu: 10.0% | epoch: 1 | remaining: 231s    
step 00254 (23.1%) | loss: 3.530327 | lrm: 1.00 | dt: 288ms | tok/sec: 454,553 | mfu: 9.8% | epoch: 1 | remaining: 230s    
step 00255 (23.2%) | loss: 3.534403 | lrm: 1.00 | dt: 295ms | tok/sec: 444,309 | mfu: 9.6% | epoch: 1 | remaining: 230s    
step 00256 (23.3%) | loss: 3.530207 | lrm: 1.00 | dt: 274ms | tok/sec: 478,334 | mfu: 10.3% | epoch: 1 | remaining: 230s    
step 00257 (23.4%) | loss: 3.523132 | lrm: 1.00 | dt: 283ms | tok/sec: 463,216 | mfu: 10.0% | epoch: 1 | remaining: 229s    
step 00258 (23.5%) | loss: 3.515860 | lrm: 1.00 | dt: 288ms | tok/sec: 455,404 | mfu: 9.8% | epoch: 1 | remaining: 229s    
step 00259 (23.6%) | loss: 3.522256 | lrm: 1.00 | dt: 295ms | tok/sec: 444,114 | mfu: 9.6% | epoch: 1 | remaining: 229s    
step 00260 (23.7%) | loss: 3.520948 | lrm: 1.00 | dt: 274ms | tok/sec: 478,184 | mfu: 10.3% | epoch: 1 | remaining: 229s    
step 00261 (23.8%) | loss: 3.515974 | lrm: 1.00 | dt: 283ms | tok/sec: 463,169 | mfu: 10.0% | epoch: 1 | remaining: 228s    
step 00262 (23.9%) | loss: 3.511889 | lrm: 1.00 | dt: 288ms | tok/sec: 455,604 | mfu: 9.8% | epoch: 1 | remaining: 228s    
step 00263 (24.0%) | loss: 3.502222 | lrm: 1.00 | dt: 295ms | tok/sec: 444,028 | mfu: 9.6% | epoch: 1 | remaining: 228s    
step 00264 (24.1%) | loss: 3.502487 | lrm: 1.00 | dt: 274ms | tok/sec: 477,945 | mfu: 10.3% | epoch: 1 | remaining: 227s    
step 00265 (24.2%) | loss: 3.504711 | lrm: 1.00 | dt: 283ms | tok/sec: 462,682 | mfu: 10.0% | epoch: 1 | remaining: 227s    
step 00266 (24.3%) | loss: 3.510688 | lrm: 1.00 | dt: 287ms | tok/sec: 456,248 | mfu: 9.9% | epoch: 1 | remaining: 227s    
step 00267 (24.4%) | loss: 3.505352 | lrm: 1.00 | dt: 295ms | tok/sec: 444,873 | mfu: 9.6% | epoch: 1 | remaining: 227s    
step 00268 (24.5%) | loss: 3.512099 | lrm: 1.00 | dt: 274ms | tok/sec: 477,924 | mfu: 10.3% | epoch: 1 | remaining: 226s    
step 00269 (24.5%) | loss: 3.509116 | lrm: 1.00 | dt: 283ms | tok/sec: 462,425 | mfu: 10.0% | epoch: 1 | remaining: 226s    
step 00270 (24.6%) | loss: 3.507379 | lrm: 1.00 | dt: 288ms | tok/sec: 455,881 | mfu: 9.9% | epoch: 1 | remaining: 226s    
step 00271 (24.7%) | loss: 3.509532 | lrm: 1.00 | dt: 295ms | tok/sec: 444,074 | mfu: 9.6% | epoch: 1 | remaining: 225s    
step 00272 (24.8%) | loss: 3.507754 | lrm: 1.00 | dt: 274ms | tok/sec: 478,400 | mfu: 10.3% | epoch: 1 | remaining: 225s    
step 00273 (24.9%) | loss: 3.509759 | lrm: 1.00 | dt: 283ms | tok/sec: 463,502 | mfu: 10.0% | epoch: 1 | remaining: 225s    
step 00274 (25.0%) | loss: 3.511720 | lrm: 1.00 | dt: 288ms | tok/sec: 455,488 | mfu: 9.8% | epoch: 1 | remaining: 225s    
step 00275 (25.1%) | loss: 3.509878 | lrm: 1.00 | dt: 295ms | tok/sec: 444,468 | mfu: 9.6% | epoch: 1 | remaining: 224s    
step 00276 (25.2%) | loss: 3.510635 | lrm: 1.00 | dt: 274ms | tok/sec: 478,523 | mfu: 10.3% | epoch: 1 | remaining: 224s    
step 00277 (25.3%) | loss: 3.509576 | lrm: 1.00 | dt: 283ms | tok/sec: 463,149 | mfu: 10.0% | epoch: 1 | remaining: 224s    
step 00278 (25.4%) | loss: 3.506445 | lrm: 1.00 | dt: 287ms | tok/sec: 455,908 | mfu: 9.9% | epoch: 1 | remaining: 224s    
step 00279 (25.5%) | loss: 3.511855 | lrm: 1.00 | dt: 295ms | tok/sec: 443,666 | mfu: 9.6% | epoch: 1 | remaining: 223s    
step 00280 (25.6%) | loss: 3.509078 | lrm: 1.00 | dt: 274ms | tok/sec: 478,878 | mfu: 10.4% | epoch: 1 | remaining: 223s    
step 00281 (25.7%) | loss: 3.504490 | lrm: 1.00 | dt: 284ms | tok/sec: 462,279 | mfu: 10.0% | epoch: 1 | remaining: 223s    
step 00282 (25.8%) | loss: 3.501866 | lrm: 1.00 | dt: 287ms | tok/sec: 456,337 | mfu: 9.9% | epoch: 1 | remaining: 222s    
step 00283 (25.9%) | loss: 3.499542 | lrm: 1.00 | dt: 295ms | tok/sec: 444,354 | mfu: 9.6% | epoch: 1 | remaining: 222s    
step 00284 (26.0%) | loss: 3.491460 | lrm: 1.00 | dt: 274ms | tok/sec: 478,622 | mfu: 10.3% | epoch: 1 | remaining: 222s    
step 00285 (26.1%) | loss: 3.492071 | lrm: 1.00 | dt: 283ms | tok/sec: 462,382 | mfu: 10.0% | epoch: 1 | remaining: 222s    
step 00286 (26.2%) | loss: 3.503353 | lrm: 1.00 | dt: 288ms | tok/sec: 455,180 | mfu: 9.8% | epoch: 1 | remaining: 221s    
step 00287 (26.3%) | loss: 3.499309 | lrm: 1.00 | dt: 295ms | tok/sec: 444,432 | mfu: 9.6% | epoch: 1 | remaining: 221s    
step 00288 (26.4%) | loss: 3.484946 | lrm: 1.00 | dt: 274ms | tok/sec: 478,694 | mfu: 10.3% | epoch: 1 | remaining: 221s    
step 00289 (26.4%) | loss: 3.481197 | lrm: 1.00 | dt: 283ms | tok/sec: 462,801 | mfu: 10.0% | epoch: 1 | remaining: 220s    
step 00290 (26.5%) | loss: 3.478406 | lrm: 1.00 | dt: 288ms | tok/sec: 454,957 | mfu: 9.8% | epoch: 1 | remaining: 220s    
step 00291 (26.6%) | loss: 3.478468 | lrm: 1.00 | dt: 294ms | tok/sec: 445,290 | mfu: 9.6% | epoch: 1 | remaining: 220s    
step 00292 (26.7%) | loss: 3.483979 | lrm: 1.00 | dt: 274ms | tok/sec: 478,502 | mfu: 10.3% | epoch: 1 | remaining: 220s    
step 00293 (26.8%) | loss: 3.487390 | lrm: 1.00 | dt: 283ms | tok/sec: 463,304 | mfu: 10.0% | epoch: 1 | remaining: 219s    
step 00294 (26.9%) | loss: 3.476090 | lrm: 1.00 | dt: 288ms | tok/sec: 455,883 | mfu: 9.9% | epoch: 1 | remaining: 219s    
step 00295 (27.0%) | loss: 3.473557 | lrm: 1.00 | dt: 294ms | tok/sec: 445,183 | mfu: 9.6% | epoch: 1 | remaining: 219s    
step 00296 (27.1%) | loss: 3.474747 | lrm: 1.00 | dt: 274ms | tok/sec: 478,328 | mfu: 10.3% | epoch: 1 | remaining: 218s    
step 00297 (27.2%) | loss: 3.477401 | lrm: 1.00 | dt: 283ms | tok/sec: 463,093 | mfu: 10.0% | epoch: 1 | remaining: 218s    
step 00298 (27.3%) | loss: 3.471492 | lrm: 1.00 | dt: 288ms | tok/sec: 455,538 | mfu: 9.8% | epoch: 1 | remaining: 218s    
step 00299 (27.4%) | loss: 3.470036 | lrm: 1.00 | dt: 295ms | tok/sec: 444,592 | mfu: 9.6% | epoch: 1 | remaining: 218s    
step 00300 (27.5%) | loss: 3.467671 | lrm: 1.00 | dt: 274ms | tok/sec: 478,005 | mfu: 10.3% | epoch: 1 | remaining: 217s    
step 00301 (27.6%) | loss: 3.468595 | lrm: 1.00 | dt: 283ms | tok/sec: 463,945 | mfu: 10.0% | epoch: 1 | remaining: 217s    
step 00302 (27.7%) | loss: 3.470967 | lrm: 1.00 | dt: 288ms | tok/sec: 455,706 | mfu: 9.9% | epoch: 1 | remaining: 217s    
step 00303 (27.8%) | loss: 3.471226 | lrm: 1.00 | dt: 294ms | tok/sec: 445,274 | mfu: 9.6% | epoch: 1 | remaining: 216s    
step 00304 (27.9%) | loss: 3.473204 | lrm: 1.00 | dt: 274ms | tok/sec: 477,981 | mfu: 10.3% | epoch: 1 | remaining: 216s    
step 00305 (28.0%) | loss: 3.469359 | lrm: 1.00 | dt: 283ms | tok/sec: 462,766 | mfu: 10.0% | epoch: 1 | remaining: 216s    
step 00306 (28.1%) | loss: 3.473017 | lrm: 1.00 | dt: 287ms | tok/sec: 456,393 | mfu: 9.9% | epoch: 1 | remaining: 216s    
step 00307 (28.2%) | loss: 3.470406 | lrm: 1.00 | dt: 295ms | tok/sec: 444,142 | mfu: 9.6% | epoch: 1 | remaining: 215s    
step 00308 (28.3%) | loss: 3.468669 | lrm: 1.00 | dt: 274ms | tok/sec: 478,321 | mfu: 10.3% | epoch: 1 | remaining: 215s    
step 00309 (28.3%) | loss: 3.473939 | lrm: 1.00 | dt: 283ms | tok/sec: 463,360 | mfu: 10.0% | epoch: 1 | remaining: 215s    
step 00310 (28.4%) | loss: 3.477870 | lrm: 1.00 | dt: 288ms | tok/sec: 455,067 | mfu: 9.8% | epoch: 1 | remaining: 214s    
step 00311 (28.5%) | loss: 3.480523 | lrm: 1.00 | dt: 295ms | tok/sec: 444,702 | mfu: 9.6% | epoch: 1 | remaining: 214s    
step 00312 (28.6%) | loss: 3.479305 | lrm: 1.00 | dt: 274ms | tok/sec: 478,544 | mfu: 10.3% | epoch: 1 | remaining: 214s    
